Data Set,MRR,Accuracy,Number of Training Labels,Number of Testing Labels,Average Number of Training Tuples in Semantic Label,Average Number of Testing Tuples in Semantic Labels
orgSeaBodyOfWater,0.5833333333, 50.0%,6,6,71,33
orgSkiResort,0.59375, 50.0%,44,32,34,21
orgComment,0.6775362319, 60.86956521739131%,179,161,15794,7432
orgMountain,0.5024154589, 44.927536231884055%,46,69,517,117
orgPark,0.4583333333, 41.17647058823529%,77,34,173,187
orgLakeBodyOfWater,0.5441176471, 35.294117647058826%,27,17,217,139
orgStadiumOrArena,0.6597222222, 60.416666666666664%,68,48,180,111
orgCity,0.6643049933, 61.1336032388664%,314,247,6442,3517
orgSportsTeam,0.6073573574, 54.95495495495496%,102,111,1838,3893
orgHospital,0.5547385621, 50.0%,154,102,1711,826
orgCanal,0.3974358974, 30.76923076923077%,14,13,38,14
orgRiverBodyOfWater,0.5263157895, 36.84210526315789%,18,19,484,196
orgRestaurant,0.6261829653, 57.72870662460568%,443,317,10035,5311
orgGovernmentOrganization,0.6098039216, 56.470588235294116%,116,85,702,361
orgCollegeOrUniversity,0.6061359867, 56.71641791044776%,213,201,12615,5961
orgTvEpisode,0.7157534247, 66.43835616438356%,178,146,46058,23630
orgRadioStation,0.6378787879, 58.18181818181818%,52,55,1519,627
orgShoppingCenter,0.6728395062, 61.111111111111114%,71,54,141,54
orgEducationalOrganization,0.4900455063, 44.027303754266214%,331,293,2009,629
orgLanguage,0.6320754717, 49.056603773584904%,69,53,445,286
orgSculpture,0.2962962963, 22.22222222222222%,23,36,29,8
orgSchool,0.6236413043, 58.152173913043484%,125,184,5965,1730
orgLibrary,0.6258169935, 56.86274509803921%,57,51,1150,515
orgMuseum,0.5472222222, 46.666666666666664%,74,60,156,87
orgLandmarksOrHistoricalBuildings,0.6447368421, 60.526315789473685%,141,76,625,484
orgPainting,0.6035353535, 57.57575757575758%,50,33,282,191
,,,,,,
Total Training Labels:1647,1647,,,,,
Total Testing Labels:1454,1454,,,,,
Number of Labels Which are present only in Testing or Training Set:438,438,,,,,
,,,,,,
Total Accuracy:,54.7343188174,78.3304129532,,,,
Total MRR:,0.6033759489,0.8634927457,,,,
